Reference,Hypothesis,Type
і,*,OK
раптом,*,OK
літо,*,OK
згадавши,*,OK
як,*,OK
добре,*,OK
йому,*,OK
було,*,OK
прокидається,*,OK
з,*,OK
невчасно,*,OK
розпочатої,розпочати,S
сплячки,*,OK
розливає,*,OK
сонце,*,OK
над,санаторного,S
нивами,квітникарство,S
та,канонізованого,S
лісами,основоположника,S
і,аортокоронарного,S
спалахує,"""""",D
навколо,"""""",D
бабине,"""""",D
літо,"""""",D
бузкова,"""""",D
герань,"""""",D
гнучкі,"""""",D
петрові,"""""",D
батоги,"""""",D
жовті,"""""",D
кульбабки,"""""",D
білосніжні,"""""",D
ромашки,"""""",D
усе,"""""",D
знову,"""""",D
квітне,"""""",D
сподіваючись,"""""",D
на,"""""",D
тепло,"""""",D
удруге,"""""",D
вбирається,"""""",D
у,"""""",D
весільний,"""""",D
одяг,"""""",D
глуха,"""""",D
кропива,"""""",D
червоніють,"""""",D
навіть,"""""",D
духмяні,"""""",D
сунички,"""""",D
небеса,"""""",D
осяяні,"""""",D
яскравим,"""""",D
холодним,"""""",D
промінням,"""""",D
низько,"""""",D
схиляються,"""""",D
до,"""""",D
справжніх,"""""",D
осінніх,"""""",D
квітів,"""""",D
жоржин,"""""",D
айстр,"""""",D
чорнобривців,"""""",D
сальвій,"""""",D
вони,"""""",D
будуть,"""""",D
стояти,"""""",D
до,"""""",D
останнього,"""""",D
закриваючись,"""""",D
пелюстками,"""""",D
від,"""""",D
перших,"""""",D
ще,"""""",D
не,"""""",D
дуже,"""""",D
жорстоких,"""""",D
морозів,"""""",D
але,"""""",D
це,"""""",D
буде,"""""",D
за,"""""",D
кілька,"""""",D
днів,"""""",D
всього,"""""",D
кілька,"""""",D
днів,"""""",D
а,"""""",D
зараз,"""""",D
бабине,"""""",D
літо,"""""",D
знову,"""""",D
замайоріли,"""""",D
в,"""""",D
повітрі,"""""",D
метелики,"""""",D
знову,"""""",D
гудуть,"""""",D
джмелі,"""""",D
знову,"""""",D
снують,"""""",D
до,"""""",D
квіток,"""""",D
ніби,"""""",D
і,"""""",D
не,"""""",D
стомлені,"""""",D
працею,"""""",D
бджоли,"""""",D
