Reference,Hypothesis,Type
і,*,OK
_,*,OK
р,*,OK
а,*,OK
п,*,OK
т,*,OK
о,*,OK
м,*,OK
_,*,OK
л,*,OK
і,*,OK
т,*,OK
о,*,OK
_,*,OK
з,*,OK
г,*,OK
а,*,OK
д,*,OK
а,*,OK
в,*,OK
ш,*,OK
и,*,OK
_,*,OK
я,*,OK
к,*,OK
_,*,OK
д,*,OK
о,*,OK
б,*,OK
р,*,OK
е,*,OK
_,*,OK
й,*,OK
о,*,OK
м,*,OK
у,*,OK
_,*,OK
б,*,OK
у,*,OK
л,*,OK
о,*,OK
_,*,OK
п,*,OK
р,*,OK
о,*,OK
к,*,OK
и,*,OK
д,*,OK
а,*,OK
є,*,OK
т,*,OK
ь,*,OK
с,*,OK
я,*,OK
_,*,OK
з,*,OK
_,*,OK
н,*,OK
е,*,OK
в,*,OK
ч,*,OK
а,*,OK
с,*,OK
н,*,OK
о,*,OK
_,*,OK
р,*,OK
о,*,OK
з,*,OK
п,*,OK
о,*,OK
ч,*,OK
а,*,OK
т,*,OK
о,и,S
ї,"""""",D
_,*,OK
с,*,OK
п,*,OK
л,*,OK
я,*,OK
ч,*,OK
к,*,OK
и,*,OK
_,*,OK
р,*,OK
о,*,OK
з,*,OK
л,*,OK
и,*,OK
в,*,OK
а,*,OK
є,*,OK
_,*,OK
с,*,OK
о,*,OK
н,*,OK
ц,*,OK
е,*,OK
_,*,OK
н,"""""",D
а,"""""",D
д,"""""",D
_,"""""",D
н,"""""",D
и,"""""",D
в,"""""",D
а,"""""",D
м,"""""",D
и,"""""",D
_,"""""",D
т,"""""",D
а,"""""",D
_,"""""",D
л,"""""",D
і,"""""",D
с,*,OK
а,*,OK
м,"""""",D
и,"""""",D
_,"""""",D
і,"""""",D
_,"""""",D
с,"""""",D
п,"""""",D
а,"""""",D
л,"""""",D
а,"""""",D
х,"""""",D
у,"""""",D
є,"""""",D
_,"""""",D
н,*,OK
а,"""""",D
в,"""""",D
к,"""""",D
о,"""""",D
л,"""""",D
о,"""""",D
_,"""""",D
б,"""""",D
а,"""""",D
б,"""""",D
и,"""""",D
н,"""""",D
е,"""""",D
_,"""""",D
л,"""""",D
і,"""""",D
т,"""""",D
о,"""""",D
_,"""""",D
б,"""""",D
у,"""""",D
з,"""""",D
к,"""""",D
о,"""""",D
в,"""""",D
а,"""""",D
_,"""""",D
г,"""""",D
е,"""""",D
р,"""""",D
а,"""""",D
н,"""""",D
ь,"""""",D
_,"""""",D
г,"""""",D
н,"""""",D
у,"""""",D
ч,"""""",D
к,"""""",D
і,"""""",D
_,"""""",D
п,"""""",D
е,"""""",D
т,"""""",D
р,"""""",D
о,"""""",D
в,"""""",D
і,"""""",D
_,"""""",D
б,"""""",D
а,*,OK
т,*,OK
о,*,OK
г,"""""",D
и,"""""",D
_,"""""",D
ж,"""""",D
о,"""""",D
в,"""""",D
т,"""""",D
і,"""""",D
_,"""""",D
к,"""""",D
у,"""""",D
л,"""""",D
ь,"""""",D
б,"""""",D
а,"""""",D
б,"""""",D
к,"""""",D
и,"""""",D
_,"""""",D
б,"""""",D
і,"""""",D
л,"""""",D
о,"""""",D
с,"""""",D
н,"""""",D
і,"""""",D
ж,"""""",D
н,"""""",D
і,"""""",D
_,"""""",D
р,*,OK
о,"""""",D
м,"""""",D
а,"""""",D
ш,"""""",D
к,"""""",D
и,"""""",D
_,"""""",D
у,"""""",D
с,"""""",D
е,"""""",D
_,"""""",D
з,"""""",D
н,*,OK
о,*,OK
в,г,S
у,о,S
_,*,OK
к,*,OK
в,*,OK
і,*,OK
т,*,OK
н,*,OK
е,и,S
_,к,S
"""""",а,I
"""""",р,I
с,*,OK
п,т,S
о,"""""",D
д,"""""",D
і,"""""",D
в,*,OK
а,"""""",D
ю,"""""",D
ч,"""""",D
и,"""""",D
с,"""""",D
ь,"""""",D
_,"""""",D
н,"""""",D
а,"""""",D
_,"""""",D
т,"""""",D
е,"""""",D
п,"""""",D
л,"""""",D
о,*,OK
_,*,OK
у,к,S
д,"""""",D
р,"""""",D
у,"""""",D
г,"""""",D
е,"""""",D
_,"""""",D
в,"""""",D
б,"""""",D
и,"""""",D
р,"""""",D
а,*,OK
є,"""""",D
т,"""""",D
ь,"""""",D
с,"""""",D
я,"""""",D
_,"""""",D
у,"""""",D
_,"""""",D
в,"""""",D
е,"""""",D
с,"""""",D
і,"""""",D
л,"""""",D
ь,"""""",D
н,*,OK
и,"""""",D
й,"""""",D
_,"""""",D
о,"""""",D
д,"""""",D
я,"""""",D
г,"""""",D
_,"""""",D
г,"""""",D
л,"""""",D
у,"""""",D
х,"""""",D
а,"""""",D
_,"""""",D
к,"""""",D
р,"""""",D
о,"""""",D
п,"""""",D
и,"""""",D
в,"""""",D
а,"""""",D
_,"""""",D
ч,"""""",D
е,"""""",D
р,"""""",D
в,"""""",D
о,*,OK
н,*,OK
і,*,OK
ю,з,S
т,о,S
ь,в,S
_,"""""",D
н,"""""",D
а,*,OK
в,"""""",D
і,"""""",D
т,"""""",D
ь,"""""",D
_,"""""",D
д,"""""",D
у,"""""",D
х,"""""",D
м,"""""",D
я,"""""",D
н,"""""",D
і,"""""",D
_,"""""",D
с,"""""",D
у,"""""",D
н,"""""",D
и,"""""",D
ч,"""""",D
