
--- Wav2Vec2 WER ---
S (Substitutions): 15
I (Insertions): 3
D (Deletions): 2
N (Total tokens in reference): 110
**Error Rate: 18.18%**

Alignment Table:
REFERENCE            | HYPOTHESIS           | TYPE 
--------------------------------------------------
і                    | *                    | OK
раптом               | *                    | OK
літо                 | *                    | OK
згадавши             | *                    | OK
як                   | *                    | OK
добре                | *                    | OK
йому                 | *                    | OK
було                 | *                    | OK
прокидається         | прокидаються         | S
з                    | *                    | OK
невчасно             | *                    | OK
розпочатої           | *                    | OK
сплячки              | *                    | OK
розливає             | *                    | OK
сонце                | *                    | OK
над                  | *                    | OK
нивами               | *                    | OK
та                   | *                    | OK
лісами               | *                    | OK
і                    | *                    | OK
спалахує             | *                    | OK
навколо              | *                    | OK
бабине               | баби                 | S
""                   | не                   | I
літо                 | *                    | OK
бузкова              | бускова              | S
герань               | гирань               | S
гнучкі               | *                    | OK
петрові              | *                    | OK
батоги               | *                    | OK
жовті                | жовці                | S
кульбабки            | *                    | OK
білосніжні           | *                    | OK
ромашки              | *                    | OK
усе                  | *                    | OK
знову                | *                    | OK
квітне               | *                    | OK
сподіваючись         | *                    | OK
на                   | *                    | OK
тепло                | *                    | OK
удруге               | *                    | OK
вбирається           | *                    | OK
у                    | *                    | OK
весільний            | *                    | OK
одяг                 | *                    | OK
глуха                | *                    | OK
кропива              | *                    | OK
червоніють           | *                    | OK
навіть               | *                    | OK
духмяні              | духм                 | S
сунички              | яні                  | S
небеса               | сунечки              | S
осяяні               | небиса               | S
""                   | усяєні               | I
яскравим             | *                    | OK
холодним             | *                    | OK
промінням            | *                    | OK
низько               | *                    | OK
схиляються           | *                    | OK
до                   | *                    | OK
справжніх            | *                    | OK
осінніх              | *                    | OK
квітів               | *                    | OK
жоржин               | жоржен               | S
айстр                | айстер               | S
чорнобривців         | *                    | OK
сальвій              | *                    | OK
вони                 | *                    | OK
будуть               | *                    | OK
стояти               | *                    | OK
до                   | *                    | OK
останнього           | *                    | OK
закриваючись         | *                    | OK
пелюстками           | *                    | OK
від                  | *                    | OK
перших               | *                    | OK
ще                   | *                    | OK
не                   | *                    | OK
дуже                 | *                    | OK
жорстоких            | *                    | OK
морозів              | *                    | OK
але                  | *                    | OK
це                   | *                    | OK
буде                 | *                    | OK
за                   | *                    | OK
кілька               | *                    | OK
днів                 | *                    | OK
всього               | *                    | OK
кілька               | *                    | OK
днів                 | *                    | OK
а                    | *                    | OK
зараз                | *                    | OK
бабине               | баби                 | S
""                   | не                   | I
літо                 | *                    | OK
знову                | *                    | OK
замайоріли           | *                    | OK
в                    | *                    | OK
повітрі              | *                    | OK
метелики             | *                    | OK
знову                | *                    | OK
гудуть               | *                    | OK
джмелі               | *                    | OK
знову                | *                    | OK
снують               | *                    | OK
до                   | доквіто              | S
квіток               | кніби                | S
ніби                 | ""                   | D
і                    | *                    | OK
не                   | нестомлені           | S
стомлені             | ""                   | D
працею               | *                    | OK
бджоли               | *                    | OK
